UT;Title;Journal;Year;DOI;Authors;AuthorEmails;Abstract;FundingText;FundingAgencies;GrantNumbers;AuthorKeywords;KeywordsPlus;WoSCategoriesTraditional;WoSCategoriesExtended
WOS:000000000000001;Genome-scale variant calling with reproducible workflows in human cohorts;Scandinavian Bioinformatics Reports;2025;10.1111/example.doi.0001;name1 lastname1;;We processed sequencing cohorts using containerized pipelines and evaluated scalability, reproducibility, and turnaround time across multiple workflow configurations.;Computational resources were provided by UPPMAXthrough national allocations. Support for Computational Resources enabled access to shared storage and batch execution. We thank name12 lastname12;UPPMAX;;"genomics; batch scheduling";"pipeline reproducibility; cohort processing";Biochemistry & Molecular Biology;Genetics & Heredity
WOS:000000000000002;High-throughput docking prioritization for protein–ligand screening;Computational Life Science Notes;2025;10.1111/example.doi.0002;name2 lastname2;;We performed large-scale docking and prioritization to select candidates for wet-lab validation, focusing on robustness to scoring noise and replicate stability.;Compute time was provided on Dardel;Dardel;;"protein–ligand docking;replicate stability";"high-throughput screening; candidate ranking";Biochemical Research Methods;Biotechnology & Applied Microbiology
WOS:000000000000003;Reproducible transcriptomics benchmarking across preprocessing choices;Open Research Infrastructure;2025;10.1111/example.doi.0003;name3 lastname3;;We benchmarked preprocessing pipelines for transcriptomics and reported sensitivity to filtering and normalization choices using standardized evaluation scripts.;The analyses used allocations from Swedish National Infrastructure for Computing (SNIC).;"Swedish National Infrastructure for Computing; SNIC";;"transcriptomics; normalization";"method sensitivity; QC metrics";Bioinformatics;Life Sciences Tools & Methods
WOS:000000000000004;Scalable single-cell quality control with transparent reporting;Uppsala Infrastructure Journal;2025;10.1111/example.doi.0004;name4 lastname4;;We developed scalable single-cell quality control routines and summarized reporting templates to improve transparency and reuse across projects.;Uppsala Multidisciplinary Center for Advanced Computational Science provided computational resources and user support for batch execution.;Uppsala Multidisciplinary Center for Advanced Computational Science;;"single-cell analysis; quality control";"single-cell QC; transparency";Cell Biology;Biochemistry & Molecular Biology
WOS:000000000000005;Literature mining for biomarker curation with reproducible notebooks;Research Software in Life Science;2025;10.1111/example.doi.0005;name5 lastname5;;We implemented a reproducible literature-mining pipeline and evaluated extraction quality for biomarker curation tasks using standardized annotation guidelines.;This work was enabled by national compute allocations for text processing and indexing.;National compute allocations;;"literature mining; curation";"information extraction; annotation guidelines";Information Science & Library Science;Computer Science, Interdisciplinary Applications
WOS:000000000000006;Nationwide integration of multi-site omics metadata for reproducible reuse;Nordic Systems Biology;2025;10.1111/example.doi.0006;name6 lastname6;;We harmonized metadata across sites and evaluated interoperability practices for omics datasets, emphasizing provenance, documentation, and reuse.;User support and coordination were provided by NBIS.;NBIS;;"omics metadata;interoperability";"metadata standards; multi-site integration";Public Health;Health Care Sciences & Services
WOS:000000000000007;Workflow training outcomes for reproducible data analysis in biosciences;SciLifeLab Methods Exchange;2025;10.1111/example.doi.0007;name7 lastname7;;We assessed learning outcomes from workflow training and documented practices that improve reproducibility in routine data analysis.;Training and user support were provided by the SciLifeLab Bioinformatics Platform. We thank name15 lastname15;SciLifeLab Bioinformatics Platform;;"training evaluation; reproducible analysis; workflow practices; user support; documentation";"training outcomes; instructional design";Education, Scientific Disciplines;Biochemical Research Methods
WOS:000000000000008;Large-scale topic modeling of historical newspapers for digital humanities;Digital Scholarship Quarterly;2025;10.1111/example.doi.0008;name8 lastname8;;We analyzed large collections of historical newspapers using topic modeling and evaluated stability across sampling and preprocessing choices.;Compute resources were provided through NAISS allocations for large-scale text processing.;NAISS;;"topic modeling; digital humanities";"topic stability; large-scale text processing";Information Science & Library Science;Humanities, Multidisciplinary
WOS:000000000000009;Risk-adjusted portfolio evaluation under changing market regimes;Applied Data Insights;2025;10.1111/example.doi.0009;name9 lastname9;;We evaluated model stability under regime shifts and compared performance across multiple portfolio construction approaches.;Internal funding supported analytics infrastructure.;Private Funding;;"portfolio risk;asset allocation";"portfolio construction; time-varying models";Business & Economics;Economics
WOS:000000000000010;Benchmarking large-scale simulation kernels for particle track reconstruction;High Throughput Methods;2025;10.1111/example.doi.0010;name10 lastname10;;We benchmarked simulation kernels and assessed throughput as a function of batch size and memory access patterns.;Computational resources were provided by UPPMAX under national allocations.;UPPMAX;;"particle tracks; simulation kernels";"kernel performance; throughput scaling";Physics, Particles & Fields;Physics
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Title;Journal;Abstract;FundingText;FundingAgencies;WoSCategoriesTraditional;WoSCategoriesExtended;;;;;;;;
Genome-scale variant calling with reproducible workflows in human cohorts;Scandinavian Bioinformatics Reports;We processed sequencing cohorts using containerized pipelines and evaluated scalability, reproducibility, and turnaround time across multiple workflow configurations.;Computational resources were provided by UPPMAXthrough national allocations. Support for Computational Resources enabled access to shared storage and batch execution.;UPPMAX;Biochemistry & Molecular Biology;Genetics & Heredity;;;;;;;;
High-throughput docking prioritization for protein–ligand screening;Computational Life Science Notes;We performed large-scale docking and prioritization to select candidates for wet-lab validation, focusing on robustness to scoring noise and replicate stability.;Compute time was provided on Dardel;Dardel;Biochemical Research Methods;Biotechnology & Applied Microbiology;;;;;;;;
Reproducible transcriptomics benchmarking across preprocessing choices;Open Research Infrastructure;We benchmarked preprocessing pipelines for transcriptomics and reported sensitivity to filtering and normalization choices using standardized evaluation scripts.;The analyses used allocations from Swedish National Infrastructure for Computing (SNIC).;"Swedish National Infrastructure for Computing; SNIC";Bioinformatics;Life Sciences Tools & Methods;;;;;;;;
Scalable single-cell quality control with transparent reporting;Uppsala Infrastructure Journal;We developed scalable single-cell quality control routines and summarized reporting templates to improve transparency and reuse across projects.;Uppsala Multidisciplinary Center for Advanced Computational Science provided computational resources and user support for batch execution.;Uppsala Multidisciplinary Center for Advanced Computational Science;Cell Biology;Biochemistry & Molecular Biology;;;;;;;;
Literature mining for biomarker curation with reproducible notebooks;Research Software in Life Science;We implemented a reproducible literature-mining pipeline and evaluated extraction quality for biomarker curation tasks using standardized annotation guidelines.;This work was enabled by national compute allocations for text processing and indexing.;National compute allocations;Information Science & Library Science;Computer Science, Interdisciplinary Applications;;;;;;;;
Nationwide integration of multi-site omics metadata for reproducible reuse;Nordic Systems Biology;We harmonized metadata across sites and evaluated interoperability practices for omics datasets, emphasizing provenance, documentation, and reuse.;User support and coordination were provided by NBIS.;NBIS;Public Health;Health Care Sciences & Services;;;;;;;;
Workflow training outcomes for reproducible data analysis in biosciences;SciLifeLab Methods Exchange;We assessed learning outcomes from workflow training and documented practices that improve reproducibility in routine data analysis.;Training and user support were provided by the SciLifeLab Bioinformatics Platform;SciLifeLab Bioinformatics Platform;Education, Scientific Disciplines;Biochemical Research Methods;;;;;;;;
Large-scale topic modeling of historical newspapers for digital humanities;Digital Scholarship Quarterly;We analyzed large collections of historical newspapers using topic modeling and evaluated stability across sampling and preprocessing choices.;Compute resources were provided through NAISS allocations for large-scale text processing.;NAISS;Information Science & Library Science;Humanities, Multidisciplinary;;;;;;;;
Risk-adjusted portfolio evaluation under changing market regimes;Applied Data Insights;We evaluated model stability under regime shifts and compared performance across multiple portfolio construction approaches.;Internal funding supported analytics infrastructure.;Private Funding;Business & Economics;Economics;;;;;;;;
Benchmarking large-scale simulation kernels for particle track reconstruction;High Throughput Methods;We benchmarked simulation kernels and assessed throughput as a function of batch size and memory access patterns.;Computational resources were provided by UPPMAX under national allocations.;UPPMAX;Physics, Particles & Fields;Physics;;;;;;;;
